Disease,Symptoms,Severity,Recommended_Treatment,Precautions,Description
Osteoporosis,"loss of height, back pain, bone fractures easily",Moderate,"Bisphosphonates, calcium and vitamin D supplements, weight-bearing exercises, hormone therapy, fall prevention","Adequate calcium and vitamin D, weight-bearing exercise, avoid smoking and excessive alcohol, prevent falls","Bone disease causing bones to become brittle and fragile, increasing fracture risk, especially in older adults."
Food Poisoning,"stomach cramps, vomiting, occasional weakness, occasional nausea, headache",Mild,"Rest, oral rehydration, avoid solid food initially, gradual return to bland diet, seek care if severe","Proper food handling, cook meat thoroughly, refrigerate promptly, avoid cross-contamination, check expiry dates","Illness caused by eating contaminated food or drink, symptoms typically appear within hours to days."
Tuberculosis,"persistent cough, persistent fatigue, severe loss of appetite, night sweats, chest pain, persistent blood in sputum, weight loss",Severe,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
Typhoid,"slight loss of appetite, headache, slight diarrhea or constipation, occasional rose spots on chest",Mild,"Antibiotics (azithromycin, ceftriaxone), hydration, rest, soft bland diet, hospitalization if severe","Safe drinking water, proper food hygiene, hand washing, typhoid vaccination, avoid street food in endemic areas","Bacterial infection caused by Salmonella typhi, spread through contaminated food and water."
Flu,"cough, chills, sore throat, headache",Moderate,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Dengue,"slight high fever, mild muscle pain, occasional joint pain",Mild,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Gastroenteritis,"vomiting, diarrhea, loss of appetite",Moderate,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Hypothyroidism,"slow heart rate, depression, muscle weakness, hair loss",Moderate,"Levothyroxine hormone replacement, regular TSH monitoring, adjust dosage, lifestyle modifications","Regular thyroid function tests, consistent medication timing, avoid excess iodine, balanced diet, regular exercise","Underactive thyroid gland producing insufficient thyroid hormones, affecting metabolism and energy levels."
Migraine,"throbbing pain, sensitivity to light, severe headache, visual aura, vomiting, slight nausea",Mild,"Triptans, NSAIDs, anti-nausea medication, rest in dark quiet room, cold compress, avoid triggers","Identify and avoid triggers, maintain regular sleep schedule, stay hydrated, manage stress, limit caffeine","Neurological condition characterized by recurrent moderate to severe headaches, often with nausea and sensitivity."
Hepatitis A,"slight fatigue, mild vomiting, mild clay-colored stools, low-grade fever, loss of appetite, occasional abdominal pain, jaundice",Mild,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Malaria,"vomiting, occasional high fever, fatigue, sweating, chills, muscle pain, occasional headache",Mild,"Antimalarial drugs (artemisinin-based combination therapy), supportive care, fluids, treat complications","Mosquito nets, insect repellent, antimalarial prophylaxis, avoid mosquito bites, eliminate standing water","Mosquito-borne infectious disease caused by Plasmodium parasites, life-threatening if untreated."
Hypertension,"shortness of breath, extreme vision problems, chest pain, nosebleeds, dizziness, headache, persistent flushing",Severe,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
Urinary Tract Infection,"cloudy urine, pelvic pain, lower back pain, burning during urination",Severe,"Antibiotics (nitrofurantoin, trimethoprim), increased water intake, cranberry juice, phenazopyridine for pain","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cotton underwear","Infection in any part of the urinary system, more common in women, usually bacterial."
Anemia,"persistent dizziness, severe headache, persistent shortness of breath",Severe,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
Jaundice,"dark urine, itching, slight yellow skin, confusion, slight fever, yellow eyes",Mild,"Treat underlying cause, phototherapy for newborns, medications, liver transplant if severe liver failure","Hepatitis vaccination, avoid alcohol, maintain healthy weight, avoid hepatotoxic medications, regular liver tests","Yellow discoloration of skin and eyes caused by high bilirubin levels, a symptom of underlying liver or blood disorder."
Flu,"high fever, chills, slight cough",Mild,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Diabetes,"numbness in extremities, excessive thirst, blurred vision, unexplained weight loss, slow healing wounds, frequent urination, fatigue",Moderate,"Blood glucose monitoring, insulin or oral hypoglycemics, diet management, regular exercise, endocrinologist follow-up","Regular blood sugar monitoring, balanced diet, avoid sugary foods, regular exercise, foot care","Chronic condition affecting how the body processes blood sugar (glucose), Type 1 or Type 2."
Hepatitis B,"intense abdominal pain, nausea, fever, vomiting",Severe,"Antiviral medications (tenofovir, entecavir), regular monitoring, liver function tests, consider liver transplant if cirrhosis","Hepatitis B vaccination, safe sex practices, avoid sharing needles, screen blood products, regular liver checks","Viral liver infection transmitted through blood and bodily fluids, can become chronic and lead to cirrhosis."
Common Cold,"congestion, cough, sore throat, headache, slight mild fever",Mild,"Rest, increased fluid intake, acetaminophen for fever, saline nasal spray, throat lozenges","Wash hands frequently, avoid close contact, use tissues, stay hydrated, get adequate rest","A viral infection of the upper respiratory tract, typically mild and self-limiting within 7-10 days."
COVID-19,"intense dry cough, sore throat, persistent fever, worsening shortness of breath, fatigue, muscle aches",Severe,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
Pneumonia,"chest pain, rapid breathing, productive cough, high fever, confusion, shortness of breath",Severe,"Antibiotics (if bacterial), oxygen therapy, rest, fluids, chest physiotherapy, hospitalization if severe","Pneumococcal vaccination, flu vaccination, hand hygiene, avoid smoking, strengthen immune system","Infection causing inflammation in the air sacs of the lungs, which may fill with fluid or pus."
Hepatitis B,"joint pain, vomiting, dark urine, mild fever, abdominal pain",Mild,"Antiviral medications (tenofovir, entecavir), regular monitoring, liver function tests, consider liver transplant if cirrhosis","Hepatitis B vaccination, safe sex practices, avoid sharing needles, screen blood products, regular liver checks","Viral liver infection transmitted through blood and bodily fluids, can become chronic and lead to cirrhosis."
Typhoid,"mild sustained high fever, loss of appetite, mild stomach pain, rose spots on chest, slight headache, mild weakness, diarrhea or constipation",Mild,"Antibiotics (azithromycin, ceftriaxone), hydration, rest, soft bland diet, hospitalization if severe","Safe drinking water, proper food hygiene, hand washing, typhoid vaccination, avoid street food in endemic areas","Bacterial infection caused by Salmonella typhi, spread through contaminated food and water."
Gastroenteritis,"headache, mild fever, nausea, loss of appetite",Mild,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Anxiety Disorder,"muscle tension, irritability, sweating, restlessness, difficulty concentrating",Moderate,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Jaundice,"pale stools, weight loss, dark urine, itching, abdominal pain",Moderate,"Treat underlying cause, phototherapy for newborns, medications, liver transplant if severe liver failure","Hepatitis vaccination, avoid alcohol, maintain healthy weight, avoid hepatotoxic medications, regular liver tests","Yellow discoloration of skin and eyes caused by high bilirubin levels, a symptom of underlying liver or blood disorder."
Appendicitis,"nausea, loss of appetite, vomiting, abdominal bloating, severe abdominal pain (lower right), fever",Moderate,"Emergency appendectomy (surgical removal), IV antibiotics, pain management, nil per os until surgery","Seek immediate medical attention if sudden severe abdominal pain, do not delay, no home remedies","Inflammation of the appendix, a medical emergency requiring prompt surgical removal."
Hepatitis A,"loss of appetite, vomiting, fatigue",Moderate,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Hepatitis B,"jaundice, loss of appetite, fatigue, joint pain",Moderate,"Antiviral medications (tenofovir, entecavir), regular monitoring, liver function tests, consider liver transplant if cirrhosis","Hepatitis B vaccination, safe sex practices, avoid sharing needles, screen blood products, regular liver checks","Viral liver infection transmitted through blood and bodily fluids, can become chronic and lead to cirrhosis."
Asthma,"wheezing, shortness of breath, slight difficulty breathing, mild coughing, chest tightness",Mild,"Inhalers (bronchodilators, corticosteroids), nebulizer treatments, avoid triggers, peak flow monitoring","Avoid allergens and irritants, use air purifier, regular exercise (as tolerated), carry rescue inhaler","Chronic respiratory condition causing airway inflammation and constriction, leading to breathing difficulty."
Gallstones,"fever, indigestion, severe abdominal pain (upper right), vomiting",Moderate,"Cholecystectomy (gallbladder removal), ursodiol to dissolve stones, pain management, low-fat diet","Low-fat diet, maintain healthy weight, avoid rapid weight loss, regular exercise, limit cholesterol","Hardened deposits in the gallbladder, can block bile ducts and cause severe pain and complications."
Depression,"intense fatigue, extreme sleep changes, severe thoughts of death, persistent loss of interest",Severe,"Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, support groups, emergency intervention if suicidal","Regular therapy, maintain social connections, exercise, sleep hygiene, avoid alcohol and drugs, monitor mood changes","Mood disorder causing persistent sadness and loss of interest, affecting daily functioning and quality of life."
Hepatitis A,"extreme fatigue, clay-colored stools, low-grade fever, abdominal pain",Severe,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Anemia,"headache, pale skin, cold hands and feet, dizziness, irregular heartbeat, weakness",Moderate,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
Flu,"headache, body aches, high fever, fatigue, sore throat",Moderate,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Hepatitis B,"slight fever, slight fatigue, slight jaundice, slight loss of appetite, nausea",Mild,"Antiviral medications (tenofovir, entecavir), regular monitoring, liver function tests, consider liver transplant if cirrhosis","Hepatitis B vaccination, safe sex practices, avoid sharing needles, screen blood products, regular liver checks","Viral liver infection transmitted through blood and bodily fluids, can become chronic and lead to cirrhosis."
Malaria,"intense nausea, jaundice, fatigue, muscle pain, high fever, headache",Severe,"Antimalarial drugs (artemisinin-based combination therapy), supportive care, fluids, treat complications","Mosquito nets, insect repellent, antimalarial prophylaxis, avoid mosquito bites, eliminate standing water","Mosquito-borne infectious disease caused by Plasmodium parasites, life-threatening if untreated."
Migraine,"persistent throbbing pain, severe visual aura, worsening nausea, severe headache, extreme vomiting, extreme sensitivity to sound",Severe,"Triptans, NSAIDs, anti-nausea medication, rest in dark quiet room, cold compress, avoid triggers","Identify and avoid triggers, maintain regular sleep schedule, stay hydrated, manage stress, limit caffeine","Neurological condition characterized by recurrent moderate to severe headaches, often with nausea and sensitivity."
Gastroenteritis,"headache, worsening vomiting, dehydration, stomach cramps, extreme diarrhea",Severe,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Anemia,"persistent headache, irregular heartbeat, severe cold hands and feet",Severe,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
Anemia,"slight shortness of breath, mild fatigue, occasional chest pain",Mild,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
Hepatitis B,"abdominal pain, dark urine, fever",Moderate,"Antiviral medications (tenofovir, entecavir), regular monitoring, liver function tests, consider liver transplant if cirrhosis","Hepatitis B vaccination, safe sex practices, avoid sharing needles, screen blood products, regular liver checks","Viral liver infection transmitted through blood and bodily fluids, can become chronic and lead to cirrhosis."
Gastroenteritis,"headache, occasional vomiting, mild nausea, stomach cramps",Mild,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Anemia,"shortness of breath, fatigue, chest pain, headache, weakness",Mild,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
Food Poisoning,"weakness, headache, diarrhea, dehydration",Moderate,"Rest, oral rehydration, avoid solid food initially, gradual return to bland diet, seek care if severe","Proper food handling, cook meat thoroughly, refrigerate promptly, avoid cross-contamination, check expiry dates","Illness caused by eating contaminated food or drink, symptoms typically appear within hours to days."
Dengue,"bleeding, severe headache, vomiting",Moderate,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Gastroenteritis,"severe diarrhea, vomiting, severe stomach cramps, worsening mild fever, headache",Severe,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Tuberculosis,"persistent cough, chest pain, weight loss",Moderate,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
Hypothyroidism,"depression, muscle weakness, dry skin, weight gain, constipation, cold sensitivity, fatigue",Moderate,"Levothyroxine hormone replacement, regular TSH monitoring, adjust dosage, lifestyle modifications","Regular thyroid function tests, consistent medication timing, avoid excess iodine, balanced diet, regular exercise","Underactive thyroid gland producing insufficient thyroid hormones, affecting metabolism and energy levels."
Typhoid,"worsening headache, loss of appetite, stomach pain, severe rose spots on chest, sustained high fever",Severe,"Antibiotics (azithromycin, ceftriaxone), hydration, rest, soft bland diet, hospitalization if severe","Safe drinking water, proper food hygiene, hand washing, typhoid vaccination, avoid street food in endemic areas","Bacterial infection caused by Salmonella typhi, spread through contaminated food and water."
Gallstones,"fever, persistent indigestion, nausea, jaundice",Severe,"Cholecystectomy (gallbladder removal), ursodiol to dissolve stones, pain management, low-fat diet","Low-fat diet, maintain healthy weight, avoid rapid weight loss, regular exercise, limit cholesterol","Hardened deposits in the gallbladder, can block bile ducts and cause severe pain and complications."
Diabetes,"slight excessive thirst, frequent urination, mild fatigue",Mild,"Blood glucose monitoring, insulin or oral hypoglycemics, diet management, regular exercise, endocrinologist follow-up","Regular blood sugar monitoring, balanced diet, avoid sugary foods, regular exercise, foot care","Chronic condition affecting how the body processes blood sugar (glucose), Type 1 or Type 2."
Anemia,"chest pain, weakness, dizziness, shortness of breath, fatigue",Moderate,"Iron supplements, vitamin B12 or folate, treat underlying cause, blood transfusion if severe, dietary changes","Iron-rich diet (red meat, leafy greens), vitamin C with iron meals, regular blood tests, treat underlying causes","Condition with insufficient healthy red blood cells or hemoglobin, leading to reduced oxygen delivery."
Migraine,"sensitivity to sound, occasional nausea, slight sensitivity to light, severe headache, throbbing pain, visual aura, vomiting",Mild,"Triptans, NSAIDs, anti-nausea medication, rest in dark quiet room, cold compress, avoid triggers","Identify and avoid triggers, maintain regular sleep schedule, stay hydrated, manage stress, limit caffeine","Neurological condition characterized by recurrent moderate to severe headaches, often with nausea and sensitivity."
Food Poisoning,"diarrhea, weakness, stomach cramps, vomiting, fever, dehydration",Moderate,"Rest, oral rehydration, avoid solid food initially, gradual return to bland diet, seek care if severe","Proper food handling, cook meat thoroughly, refrigerate promptly, avoid cross-contamination, check expiry dates","Illness caused by eating contaminated food or drink, symptoms typically appear within hours to days."
Gastroenteritis,"stomach cramps, diarrhea, mild mild fever, headache, vomiting",Mild,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Hyperthyroidism,"difficulty sleeping, heat sensitivity, bulging eyes, mild irritability, rapid heartbeat, anxiety, tremor",Mild,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Arthritis,"fatigue, joint swelling, fever, joint stiffness, intense morning stiffness, joint pain",Severe,"NSAIDs, DMARDs, corticosteroids, physical therapy, joint replacement surgery if severe, heat/cold therapy","Regular exercise, maintain healthy weight, joint protection techniques, anti-inflammatory diet, avoid smoking","Inflammation of one or more joints causing pain and stiffness, osteoarthritis or rheumatoid types."
Asthma,"wheezing, chest tightness, shortness of breath, rapid breathing, coughing",Moderate,"Inhalers (bronchodilators, corticosteroids), nebulizer treatments, avoid triggers, peak flow monitoring","Avoid allergens and irritants, use air purifier, regular exercise (as tolerated), carry rescue inhaler","Chronic respiratory condition causing airway inflammation and constriction, leading to breathing difficulty."
Urinary Tract Infection,"cloudy urine, urgent urination, burning during urination, lower back pain",Moderate,"Antibiotics (nitrofurantoin, trimethoprim), increased water intake, cranberry juice, phenazopyridine for pain","Drink plenty of water, urinate after intercourse, wipe front to back, avoid irritating feminine products, cotton underwear","Infection in any part of the urinary system, more common in women, usually bacterial."
Appendicitis,"vomiting, nausea, abdominal bloating, loss of appetite, persistent constipation",Severe,"Emergency appendectomy (surgical removal), IV antibiotics, pain management, nil per os until surgery","Seek immediate medical attention if sudden severe abdominal pain, do not delay, no home remedies","Inflammation of the appendix, a medical emergency requiring prompt surgical removal."
Hyperthyroidism,"irritability, sweating, anxiety, rapid heartbeat, tremor, difficulty sleeping",Moderate,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Hypothyroidism,"dry skin, muscle weakness, weight gain, constipation",Moderate,"Levothyroxine hormone replacement, regular TSH monitoring, adjust dosage, lifestyle modifications","Regular thyroid function tests, consistent medication timing, avoid excess iodine, balanced diet, regular exercise","Underactive thyroid gland producing insufficient thyroid hormones, affecting metabolism and energy levels."
Gallstones,"jaundice, vomiting, pain after fatty meals, persistent nausea",Severe,"Cholecystectomy (gallbladder removal), ursodiol to dissolve stones, pain management, low-fat diet","Low-fat diet, maintain healthy weight, avoid rapid weight loss, regular exercise, limit cholesterol","Hardened deposits in the gallbladder, can block bile ducts and cause severe pain and complications."
Typhoid,"sustained high fever, diarrhea or constipation, rose spots on chest",Moderate,"Antibiotics (azithromycin, ceftriaxone), hydration, rest, soft bland diet, hospitalization if severe","Safe drinking water, proper food hygiene, hand washing, typhoid vaccination, avoid street food in endemic areas","Bacterial infection caused by Salmonella typhi, spread through contaminated food and water."
Flu,"high fever, slight fatigue, slight headache, slight sore throat",Mild,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
Arthritis,"joint pain, warmth around joints, joint swelling, joint stiffness, reduced range of motion",Moderate,"NSAIDs, DMARDs, corticosteroids, physical therapy, joint replacement surgery if severe, heat/cold therapy","Regular exercise, maintain healthy weight, joint protection techniques, anti-inflammatory diet, avoid smoking","Inflammation of one or more joints causing pain and stiffness, osteoarthritis or rheumatoid types."
Hypertension,"nosebleeds, vision problems, flushing",Moderate,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
Typhoid,"rose spots on chest, diarrhea or constipation, stomach pain, loss of appetite, weakness, sustained high fever, headache",Moderate,"Antibiotics (azithromycin, ceftriaxone), hydration, rest, soft bland diet, hospitalization if severe","Safe drinking water, proper food hygiene, hand washing, typhoid vaccination, avoid street food in endemic areas","Bacterial infection caused by Salmonella typhi, spread through contaminated food and water."
Hyperthyroidism,"bulging eyes, weight loss, heat sensitivity, irritability, sweating",Moderate,"Antithyroid medications (methimazole), radioactive iodine, beta-blockers, thyroidectomy if necessary","Regular thyroid monitoring, avoid excess iodine, stress management, balanced diet, avoid stimulants","Overactive thyroid gland producing excessive thyroid hormones, accelerating metabolism."
Tuberculosis,"fever, weight loss, fatigue",Mild,"Long-term antibiotics (isoniazid, rifampin, pyrazinamide, ethambutol), DOTS program, respiratory isolation","BCG vaccination, avoid close contact with infected, proper ventilation, mask wearing, complete treatment course","Bacterial infection primarily affecting the lungs, requiring prolonged antibiotic treatment."
Dengue,"severe headache, vomiting, persistent bleeding, joint pain, intense rash",Severe,"Supportive care, acetaminophen, hydration, avoid NSAIDs, hospitalization if severe dengue","Avoid mosquito bites, use repellents, wear protective clothing, remove standing water, screen windows","Mosquito-borne viral infection causing fever and severe joint/muscle pain, can develop into severe dengue."
Typhoid,"rose spots on chest, headache, weakness, worsening sustained high fever",Severe,"Antibiotics (azithromycin, ceftriaxone), hydration, rest, soft bland diet, hospitalization if severe","Safe drinking water, proper food hygiene, hand washing, typhoid vaccination, avoid street food in endemic areas","Bacterial infection caused by Salmonella typhi, spread through contaminated food and water."
Flu,"fatigue, weakness, headache, chills, persistent cough, worsening high fever",Severe,"Rest, antiviral medications (oseltamivir if early), acetaminophen/ibuprofen, fluids, isolation","Annual flu vaccination, hand hygiene, avoid crowds during outbreaks, mask if coughing","Influenza is a contagious respiratory illness caused by influenza viruses, more severe than common cold."
COVID-19,"shortness of breath, dry cough, occasional fatigue, mild sore throat, occasional loss of smell, loss of taste",Mild,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
Depression,"feelings of worthlessness, sleep changes, slight persistent sadness, loss of interest, fatigue",Mild,"Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, support groups, emergency intervention if suicidal","Regular therapy, maintain social connections, exercise, sleep hygiene, avoid alcohol and drugs, monitor mood changes","Mood disorder causing persistent sadness and loss of interest, affecting daily functioning and quality of life."
Anxiety Disorder,"irritability, muscle tension, rapid heartbeat, excessive worry, restlessness, sleep disturbances, sweating",Moderate,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Appendicitis,"loss of appetite, abdominal bloating, severe abdominal pain (lower right), nausea, fever, vomiting, constipation",Moderate,"Emergency appendectomy (surgical removal), IV antibiotics, pain management, nil per os until surgery","Seek immediate medical attention if sudden severe abdominal pain, do not delay, no home remedies","Inflammation of the appendix, a medical emergency requiring prompt surgical removal."
Hypertension,"chest pain, flushing, vision problems, headache, shortness of breath, nosebleeds",Moderate,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
Anxiety Disorder,"irritability, restlessness, sleep disturbances, muscle tension, rapid heartbeat, sweating, excessive worry",Moderate,"Cognitive behavioral therapy, SSRIs, benzodiazepines (short-term), relaxation techniques, mindfulness, regular exercise","Stress management, regular exercise, adequate sleep, limit caffeine and alcohol, breathing exercises, therapy","Mental health condition characterized by excessive and persistent worry, fear, and nervousness."
Hepatitis A,"occasional vomiting, occasional dark urine, low-grade fever",Mild,"Rest, hydration, avoid alcohol, nutritious diet, monitor liver function, supportive care only","Hepatitis A vaccination, safe food and water practices, hand hygiene, avoid contaminated shellfish","Viral liver infection spread through contaminated food/water, usually self-limiting with lifelong immunity."
Gastroenteritis,"loss of appetite, severe stomach cramps, diarrhea, nausea",Severe,"Oral rehydration solution, rest, bland diet (BRAT), antiemetics if needed, antibiotics if bacterial","Hand washing, safe food preparation, drink clean water, avoid contaminated food, proper food storage","Inflammation of the stomach and intestines causing diarrhea and vomiting, often viral (stomach flu)."
Pneumonia,"productive cough, chest pain, high fever, chills",Mild,"Antibiotics (if bacterial), oxygen therapy, rest, fluids, chest physiotherapy, hospitalization if severe","Pneumococcal vaccination, flu vaccination, hand hygiene, avoid smoking, strengthen immune system","Infection causing inflammation in the air sacs of the lungs, which may fill with fluid or pus."
Food Poisoning,"fever, vomiting, nausea",Moderate,"Rest, oral rehydration, avoid solid food initially, gradual return to bland diet, seek care if severe","Proper food handling, cook meat thoroughly, refrigerate promptly, avoid cross-contamination, check expiry dates","Illness caused by eating contaminated food or drink, symptoms typically appear within hours to days."
COVID-19,"fever, loss of taste, slight sore throat, slight fatigue, occasional muscle aches, loss of smell",Mild,"Rest, isolation, monitoring oxygen levels, supportive care, seek medical attention if breathing difficulty","Vaccination, mask wearing, social distancing, hand hygiene, avoid crowded indoor spaces","Coronavirus disease caused by SARS-CoV-2, ranging from mild to severe respiratory illness."
Pneumonia,"slight shortness of breath, productive cough, rapid breathing, occasional high fever, chest pain",Mild,"Antibiotics (if bacterial), oxygen therapy, rest, fluids, chest physiotherapy, hospitalization if severe","Pneumococcal vaccination, flu vaccination, hand hygiene, avoid smoking, strengthen immune system","Infection causing inflammation in the air sacs of the lungs, which may fill with fluid or pus."
Hypertension,"shortness of breath, flushing, chest pain, nosebleeds, vision problems, dizziness, headache",Moderate,"ACE inhibitors, ARBs, calcium channel blockers, lifestyle changes, regular BP monitoring, reduce salt intake","Low sodium diet, regular exercise, weight management, limit alcohol, stress management, regular checkups",High blood pressure that can lead to severe health complications if not managed properly.
